FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,OO,20304,OO,2579,12892,1289203,32575,LAX,14679,1467903,33570,SAN,1535,1534,-1.00,17.00,1551,1616,4.00,1620,1620,0.00,0.00,,0.00,109.00
2015-01-01,OO,20304,OO,2579,14679,1467903,33570,SAN,12892,1289203,32575,LAX,1645,1638,-7.00,8.00,1646,1710,4.00,1730,1714,-16.00,0.00,,0.00,109.00
2015-01-01,OO,20304,OO,4971,10423,1042302,30423,AUS,12266,1226603,31453,IAH,1357,1417,20.00,16.00,1433,1504,5.00,1455,1509,14.00,0.00,,0.00,140.00
2015-01-01,OO,20304,OO,4971,12266,1226603,31453,IAH,15376,1537602,30436,TUS,1740,1804,24.00,18.00,1822,1931,4.00,1920,1935,15.00,0.00,,0.00,936.00
2015-01-01,OO,20304,OO,4972,11109,1110902,30189,COS,11292,1129202,30325,DEN,1016,1007,-9.00,14.00,1021,1041,24.00,1102,1105,3.00,0.00,,0.00,73.00
2015-01-01,OO,20304,OO,4972,11292,1129202,30325,DEN,14457,1445702,34457,RAP,1408,1418,10.00,13.00,1431,1516,4.00,1519,1520,1.00,0.00,,0.00,300.00
2015-01-01,OO,20304,OO,4973,11193,1119302,33105,CVG,13930,1393003,30977,ORD,1022,,,,,,,1043,,,1.00,A,0.00,265.00
2015-01-01,OO,20304,OO,4973,13930,1393003,30977,ORD,11986,1198603,31986,GRR,1330,1333,3.00,30.00,1403,1533,5.00,1520,1538,18.00,0.00,,0.00,137.00
2015-01-01,NK,20416,NK,968,13930,1393003,30977,ORD,10821,1082103,30852,BWI,2104,2058,-6.00,14.00,2112,2327,7.00,2349,2334,-15.00,0.00,,0.00,622.00
2015-01-01,NK,20416,NK,969,10821,1082103,30852,BWI,13930,1393003,30977,ORD,0625,0619,-6.00,12.00,0631,0727,11.00,0734,0738,4.00,0.00,,0.00,622.00
