"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_SEQ_ID","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC_SEQ_ID2","CITY_MARKET_WAC","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
1001201,10012,"1N7","Blairstown Airport","Blairstown, NJ",2101,21,"United States","US","New Jersey","NJ","34",3001201,30012,"Blairstown, NJ",2101,21,40,"N",58,16,40.97111111,74,"W",59,51,-74.99750000,"-0500",2008-07-01,,0,1,
1001301,10013,"8F3","Crosbyton Municipal","Crosbyton, TX",7401,74,"United States","US","Texas","TX","48",3001301,30013,"Crosbyton, TX",7401,74,33,"N",37,26,33.62388889,101,"W",14,27,-101.24083333,"",2009-01-01,,0,1,
1001401,10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK",101,1,"United States","US","Alaska","AK","02",3151701,31517,"Fairbanks, AK",101,1,64,"N",21,51,64.36416667,147,"W",21,41,-147.36138889,"",2002-10-01,2011-06-30,0,0,
1001402,10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK",101,1,"United States","US","Alaska","AK","02",3151701,31517,"Fairbanks, AK",101,1,64,"N",21,49,64.36361111,147,"W",21,50,-147.36388889,"",2011-07-01,,0,1,
1001501,10015,"A02","Deadmans Bay Airport","Deadmans Bay, AK",101,1,"United States","US","Alaska","AK","02",3001501,30015,"Deadmans Bay, AK",101,1,57,"N",4,0,57.06666667,153,"W",56,16,-153.93777778,"",2002-06-01,,0,1,
1001601,10016,"A03","Hallo Bay Airport","Hallo Bay, AK",101,1,"United States","US","Alaska","AK","02",3001601,30016,"Hallo Bay, AK",101,1,58,"N",27,27,58.45750000,154,"W",1,24,-154.02333333,"",2002-04-01,,0,1,
1001701,10017,"A04","Red Lake Airport","Red Lake, AK",101,1,"United States","US","Alaska","AK","02",3001701,30017,"Red Lake, AK",101,1,57,"N",16,38,57.27722222,154,"W",20,32,-154.34222222,"",2002-09-01,,0,1,
1001801,10018,"A05","Shell Lake Airport","Shell Lake, AK",101,1,"United States","US","Alaska","AK","02",3001801,30018,"Shell Lake, AK",101,1,61,"N",57,50,61.96388889,151,"W",33,21,-151.55583333,"",2002-11-01,,0,1,
1001901,10019,"A06","Navigator Airstrip","Kougarok, AK",101,1,"United States","US","Alaska","AK","02",3001901,30019,"Kougarok, AK",101,1,65,"N",39,20,65.65555556,165,"W",21,23,-165.35638889,"",2002-06-01,,0,1,
1002001,10020,"A07","Roland Norton Memorial Airstrip","Selawik, AK",101,1,"United States","US","Alaska","AK","02",3002001,30020,"Selawik, AK",101,1,66,"N",45,57,66.76583333,160,"W",9,9,-160.15250000,"",2002-12-01,2011-06-30,0,0,
1002002,10020,"A07","Roland Norton Memorial","Selawik, AK",101,1,"United States","US","Alaska","AK","02",3002001,30020,"Selawik, AK",101,1,66,"N",45,58,66.76611111,160,"W",9,10,-160.15277778,"",2011-07-01,,0,1,
1002101,10021,"A08","Pillar Bay Airport","Pillar Bay, AK",101,1,"United States","US","Alaska","AK","02",3002101,30021,"Pillar Bay, AK",101,1,56,"N",35,53,56.59805556,134,"W",14,34,-134.24277778,"",1950-01-01,,0,1,
1002201,10022,"JOH","Johnstone Point Airport","Johnstone Point, AK",101,1,"United States","US","Alaska","AK","02",3002201,30022,"Johnstone Point, AK",101,1,60,"N",28,53,60.48138889,146,"W",34,56,-146.58222222,"",1974-07-01,2002-12-31,0,0,
1002202,10022,"A09","Johnstone Point Airport","Johnstone Point, AK",101,1,"United States","US","Alaska","AK","02",3002201,30022,"Johnstone Point, AK",101,1,60,"N",28,56,60.48222222,146,"W",34,56,-146.58222222,"",2003-01-01,2013-11-30,0,0,
